date,open,high,low,close,volume,increase,increaserate,change,PE,PB,A-index,communicaiton-index,label
2012/4/11,-0.563246016,-0.596794794,-0.530828059,-0.563980357,-0.984527565,-0.007147428,-0.029997467,-1.059454582,0.675424411,-0.572590362,-1.19540103,-1.112384876,0
2012/4/10,-0.572726131,-0.589839963,-0.585167509,-0.563980357,-0.830956997,0.118778823,0.167167337,-0.873802773,0.675424411,-0.572590362,-1.202315839,-1.116201327,1
2012/4/9,-0.544285786,-0.565498055,-0.544111036,-0.574602158,-0.840123403,-0.496860628,-0.780633566,-0.884878244,0.669472253,-0.582242129,-1.221650702,-1.125048753,0
2012/4/6,-0.508735353,-0.534201316,-0.517545082,-0.533295154,-0.736347678,-0.286983543,-0.453841271,-0.759437832,0.692630981,-0.544766127,-1.199917218,-1.105131907,0
2012/4/5,-0.538360714,-0.5156551,-0.511507365,-0.509691151,-0.621319514,0.510549383,0.771763345,-0.620413143,0.705862842,-0.523351269,-1.213815491,-1.112259762,1
2012/3/30,-0.572726131,-0.56897547,-0.552563839,-0.553358556,-0.754452317,0.482565771,0.74491931,-0.781344012,0.681380531,-0.562938595,-1.275922193,-1.144198431,1
2012/3/29,-0.617756679,-0.572452886,-0.626223983,-0.59466556,-0.498644043,-0.007147428,-0.029997467,-0.472087505,0.658221803,-0.600414596,-1.268335856,-1.14213461,0
2012/3/28,-0.55613593,-0.56897547,-0.569469446,-0.59466556,-0.756074791,-0.650770491,-1.020129346,-0.783302106,0.658221803,-0.600414596,-1.235317266,-1.130553027,0
2012/3/27,-0.552580886,-0.564338917,-0.529620515,-0.540376355,-0.77599673,0.188737852,0.273938237,-0.807349951,0.688660234,-0.551175504,-1.148520639,-1.088251983,1
2012/3/26,-0.520585497,-0.543474424,-0.547733666,-0.556899156,-0.645913705,-0.4269016,-0.669554803,-0.650151699,0.679395158,-0.566180985,-1.137797642,-1.092176503,0
2012/3/23,-0.485035065,-0.514495961,-0.493394215,-0.521493153,-0.709731538,-0.580811462,-0.883132206,-0.727251659,0.699248893,-0.534058698,-1.137724697,-1.089204573,0
2012/3/22,-0.422229302,-0.458857313,-0.455960372,-0.473104948,-0.666511536,-0.594803268,-0.882989797,-0.674995019,0.726378368,-0.49017332,-1.09925879,-1.068195132,0
2012/3/21,-0.39497397,-0.420605743,-0.414903898,-0.423536542,-0.653732948,-0.13307368,-0.211853338,-0.659575027,0.754169634,-0.445156876,-1.094890639,-1.058343328,0
2012/3/20,-0.362978581,-0.389309004,-0.378677598,-0.412914741,-0.655843973,-0.748713131,-1.069616359,-0.662145026,0.760125755,-0.435580513,-1.094864893,-1.052023002,0
2012/3/19,-0.418674258,-0.380035896,-0.402828465,-0.350364135,-0.431831635,0.692442857,0.978576335,-0.391316118,0.795196724,-0.378800978,-1.0460021,-1.012349636,1
2012/3/16,-0.408009129,-0.424083159,-0.441469851,-0.409374141,-0.635396621,0.118778823,0.152463641,-0.637424086,0.762111128,-0.432338123,-1.070653406,-1.03305753,1
2012/3/15,-0.471999907,-0.435674543,-0.439054765,-0.419995942,-0.50544113,0.622483829,0.906339538,-0.480287025,0.756155008,-0.44198989,-1.119848745,-1.052178552,1
2012/3/14,-0.367718639,-0.371921926,-0.454752828,-0.473104948,-0.465696423,-1.154475497,-1.658191392,-0.432252526,0.726378368,-0.49017332,-1.10167243,-1.056535915,0
2012/3/13,-0.392603941,-0.392786419,-0.365394621,-0.376328537,-0.617063084,0.174746046,0.230005162,-0.615273145,0.780637318,-0.402402564,-1.008411539,-0.998386764,1
2012/3/12,-0.44592959,-0.417128328,-0.411281268,-0.391671139,-0.458008791,0.762401886,1.105142041,-0.422951578,0.772037996,-0.416276979,-1.032648772,-1.010164259,1
2012/3/9,-0.495700195,-0.48435836,-0.461998088,-0.456582146,-0.654093766,0.524541189,0.771941355,-0.66000336,0.735643444,-0.475167839,-1.04119842,-1.030782344,1
2012/3/8,-0.485035065,-0.49247233,-0.492186672,-0.501429751,-0.559385765,-0.091098263,-0.156171548,-0.545516039,0.71049538,-0.515810826,-1.076853778,-1.05321243,0
2012/3/7,-0.508735353,-0.506381992,-0.484941412,-0.49434855,-0.720455374,-0.091098263,-0.15570872,-0.740224033,0.714466127,-0.50940145,-1.106027708,-1.06438889,0
2012/3/6,-0.466074835,-0.480880945,-0.463205632,-0.487267349,-0.693606856,-0.286983543,-0.444228685,-0.707793097,0.718436874,-0.502992073,-1.095394821,-1.066556287,0
2012/3/5,-0.43526446,-0.466971283,-0.437847221,-0.463663347,-0.687219103,-0.32895896,-0.500052884,-0.700083101,0.731672697,-0.481577215,-1.074564575,-1.055899107,0
2012/3/2,-0.470814892,-0.466971283,-0.436639678,-0.436518744,-0.727090692,0.440590354,0.636225893,-0.748239981,0.746889931,-0.456995371,-1.075461376,-1.051470477,1
2012/3/1,-0.47555495,-0.493631468,-0.449922655,-0.474285148,-0.822816336,-0.077106457,-0.133777785,-0.863951112,0.725716577,-0.491228982,-1.120402273,-1.070693576,0
2012/2/29,-0.469629878,-0.471607837,-0.441469851,-0.468384147,-0.722102495,-0.063114651,-0.11284371,-0.742243318,0.729025533,-0.485875268,-1.128988394,-1.080019732,0
2012/2/28,-0.431709417,-0.453061621,-0.457167915,-0.463663347,-0.64734003,-0.398917988,-0.600593405,-0.651865031,0.731672697,-0.481577215,-1.100638319,-1.070546267,0
2012/2/27,-0.449484633,-0.420605743,-0.414903898,-0.430617743,-0.524812282,0.25869688,0.361448365,-0.503722965,0.750198887,-0.451641656,-1.086688555,-1.053032719,1
2012/2/24,-0.448299619,-0.471607837,-0.428186875,-0.453041545,-0.683715136,-0.021139234,-0.05057552,-0.69579977,0.737628818,-0.471925448,-1.093401691,-1.058306337,0
2012/2/23,-0.461334777,-0.468130421,-0.440262308,-0.451861345,-0.592113984,0.076803406,0.09396928,-0.585106256,0.738286646,-0.470869786,-1.124296279,-1.059874478,1
2012/2/22,-0.531250627,-0.485517499,-0.506677192,-0.458942546,-0.331633693,0.860344526,1.298924638,-0.270220229,0.734319862,-0.477279163,-1.134517238,-1.055877099,1
2012/2/21,-0.541915757,-0.551588393,-0.542903492,-0.532114954,-0.627870631,0.244705074,0.36005988,-0.62830671,0.693292772,-0.543635061,-1.179917263,-1.087093272,1
2012/2/20,-0.526510569,-0.546951839,-0.524790342,-0.553358556,-0.523624098,-0.091098263,-0.159553754,-0.502315585,0.681380531,-0.562938595,-1.204072969,-1.106936697,0
2012/2/17,-0.532435642,-0.546951839,-0.536865775,-0.546277355,-0.676692722,-0.13307368,-0.223246032,-0.687355489,0.685351278,-0.556529218,-1.209022539,-1.115490349,0
2012/2/16,-0.591686362,-0.549270116,-0.570676989,-0.535655554,-0.177930082,0.440590354,0.670653189,-0.084384849,0.691307399,-0.546877451,-1.203622423,-1.110209894,1
2012/2/15,-0.648567053,-0.603749625,-0.644337133,-0.573421958,-0.083342927,1.280098697,2.105206925,0.029918902,0.670130082,-0.581111062,-1.197746015,-1.115400633,1
2012/2/14,-0.650937082,-0.679093628,-0.668488,-0.68200037,-0.672084681,-0.300975348,-0.510804738,-0.681787158,0.60925322,-0.679589247,-1.228496856,-1.154630387,0
2012/2/13,-0.665157255,-0.666343104,-0.641922046,-0.657216167,-0.682264961,-0.091098263,-0.166852199,-0.694086438,0.623150834,-0.657118727,-1.228441074,-1.149627319,0
2012/2/10,-0.673452356,-0.676775351,-0.64675222,-0.650134966,-0.635945178,0.286680492,0.455473689,-0.638097181,0.627121581,-0.650709351,-1.248112774,-1.159703317,1
2012/2/9,-0.646197025,-0.666343104,-0.652789936,-0.674919169,-0.479469438,-0.398917988,-0.665745371,-0.448896327,0.613223967,-0.673179871,-1.258679152,-1.168243764,0
2012/2/8,-0.692412586,-0.670979658,-0.674525716,-0.641873565,-0.648149328,0.524541189,0.854253567,-0.652844078,0.631754119,-0.643244312,-1.269595239,-1.164132977,1
2012/2/7,-0.65567714,-0.687207597,-0.662450283,-0.68672117,-0.753723088,-0.356942571,-0.602373513,-0.780426155,0.606606055,-0.6838873,-1.323617858,-1.18702194,0
2012/2/6,-0.691227572,-0.657069996,-0.662450283,-0.657216167,-0.406326293,0.412606743,0.670368372,-0.360476134,0.623150834,-0.657118727,-1.289414975,-1.173981504,1
2012/2/3,-0.712557831,-0.717345198,-0.713167103,-0.692622171,-0.570513189,0.230713269,0.371345767,-0.558977936,0.603297099,-0.689241014,-1.304864415,-1.185577883,1
2012/2/2,-0.743368206,-0.740527968,-0.720412363,-0.712685573,-0.675295013,0.440590354,0.741857524,-0.685642156,0.592050612,-0.707488886,-1.333321762,-1.206167685,1
2012/2/1,-0.745738235,-0.747482799,-0.731280254,-0.750451977,-0.672377463,-0.063114651,-0.126230125,-0.682093111,0.570873295,-0.741722497,-1.369652939,-1.23057038,0
2012/1/31,-0.738628148,-0.757915045,-0.732487797,-0.745731176,-0.693294773,-0.077106457,-0.149869965,-0.707425955,0.57352046,-0.737424445,-1.357200704,-1.222486563,0
2012/1/30,-0.693597601,-0.724300029,-0.7409406,-0.739830176,-0.53930927,-0.706737714,-1.189666868,-0.521284622,0.576829415,-0.73207073,-1.357546122,-1.225043443,0
2012/1/20,-0.680562442,-0.682571043,-0.795280051,-0.680820169,0.350698739,0.440590354,0.728008281,0.554626963,0.609915011,-0.678533585,-1.343881704,-1.211090872,1
2012/1/19,-0.517030454,-0.526087346,-0.689016237,-0.718586573,-0.047700819,-2.343778982,-3.590214214,0.072996974,0.588741656,-0.712842601,-1.374113345,-1.231644807,0
2012/1/18,-0.444744575,-0.464653006,-0.499431932,-0.521493153,-0.711897151,-0.916614799,-1.363797069,-0.729882848,0.699248893,-0.534058698,-1.397243522,-1.201225769,0
2012/1/17,-0.525325555,-0.462334729,-0.510299822,-0.444780145,-0.773012214,0.972278971,1.466788858,-0.803739714,0.742257393,-0.46446041,-1.345411415,-1.171882283,1
2012/1/16,-0.50518031,-0.513336823,-0.505469649,-0.527394153,-0.780662675,-0.496860628,-0.762974891,-0.813040662,0.695939937,-0.539412413,-1.440274962,-1.218042575,0
2012/1/13,-0.417489244,-0.433356266,-0.461998088,-0.486087149,-0.700275848,-0.832663965,-1.224165368,-0.715870236,0.719098665,-0.501936411,-1.377503168,-1.190390658,0
2012/1/12,-0.448299619,-0.442629374,-0.413696355,-0.416455342,-0.801912928,0.174746046,0.235096272,-0.838679458,0.758140381,-0.438747499,-1.307629909,-1.144739719,1
2012/1/11,-0.432894431,-0.426401436,-0.408866181,-0.431797943,-0.714840907,0.006844377,-0.009597425,-0.733431894,0.749537096,-0.452697319,-1.298850697,-1.143191525,1
2012/1/10,-0.518215469,-0.462334729,-0.504262105,-0.432978143,-0.620629722,1.028246194,1.54664452,-0.619556476,0.748875305,-0.453752981,-1.298612552,-1.146776664,1
2012/1/9,-0.557320944,-0.549270116,-0.562224186,-0.520312953,-0.76818566,0.608492023,0.93282755,-0.797926622,0.699910684,-0.532927632,-1.372251088,-1.189360151,1
2012/1/6,-0.507550339,-0.533042177,-0.575507162,-0.572241758,-0.754659521,-0.608795074,-0.946717677,-0.781588773,0.670791873,-0.5800554,-1.440792017,-1.231285198,0
2012/1/5,-0.517030454,-0.497108884,-0.499431932,-0.521493153,-0.799728902,-0.147065485,-0.241901568,-0.836048269,0.699248893,-0.534058698,-1.449240829,-1.225973464,0
2012/1/4,-0.485035065,-0.486676637,-0.480111238,-0.509691151,-0.805243219,-0.147065485,-0.240655492,-0.842718027,0.705862842,-0.523351269,-1.382027937,-1.184669681,0
