y	y_pred
16.99	16
17.91	18
17.49	17
17.33	17
17.36	17
17.36	16
19.1	20
18.81	19
18.81	20
18.31	19
18.08	19
17.68	17
18.42	19
18.37	19
18.29	19
18.2	19
18.06	16
19.01	17
20.11	20
19.71	18
19.99	19
19.55	19
19.14	18
19.21	18
19.17	17
19.65	18
19.77	20
18	15
19.08	17
19.68	19
19.71	19
19.68	18
20.38	20
20.09	20
19.68	19
19.32	18
19.18	18
18.66	17
19.13	18
18.63	17
18.74	18
18.24	17
18.3	16
18.74	16
19.7	19
19.58	18
19.69	18
20.63	20
20.23	20
19.66	18
20	18
20.56	20
20.45	20
19.8	18
20.17	19
19.9	19
19.56	18
19.98	19
19.86	19
19.71	18
19.85	18
20.15	19
20.41	19
20.76	19
21.06	20
20.9	20
20.93	19
21.89	21
22.53	22
22.21	22
21.92	21
21.86	21
22.3	22
21.86	20
22.67	22
22.42	22
22.33	21
23.33	22
24.34	25
23.76	23
24.2	24
24.41	25
23.77	23
23.81	23
25.21	25
26.13	26
27.22	28
28.28	29
28.27	29
29.28	31
28.77	30
29.13	31
27.96	28
30.76	33
31.15	33
30.9	34
28.5	30
27.73	29
27.77	28
29.48	31
30.18	32
30.53	32
32.5	34
32.3	35
30.75	32
31.6	33
31.78	33
31.96	33
32.98	35
32.92	34
34.18	35
34.56	36
33.69	36
30.68	31
30.88	31
31.93	32
32.48	33
31.75	32
31.63	32
31.91	33
31.63	32
32.22	33
32.84	33
33.2	34
32.61	33
30.76	32
29.1	29
30	31
28.47	30
26.04	25
27.17	27
27.54	28
26.25	27
23.63	24
21.65	19
23.81	23
23.38	24
22.5	23
21.3	20
22.13	23
19.96	20
17.96	16
17.96	16
17.96	16
17.96	15
19.76	17
21.74	20
22.19	22
19.79	18
20.66	20
20.84	20
21.53	21
21.9	22
21.37	22
19.23	18
19.24	17
20.62	21
19.99	19
19.98	20
19	17
20.55	20
19.96	20
19.78	18
20.65	19
21.61	21
21.32	21
20.88	20
21.36	21
21.32	21
21.48	22
19.33	18
19.77	19
19.46	20
18.15	18
16.34	16
14.71	13
14.5	11
15.95	13
17.04	16
16.75	15
16.59	15
16.64	16
16.06	13
16.87	15
17.23	16
16.79	15
17.01	16
15.97	15
14.91	12
16.23	15
15.79	14
16.08	14
16.6	15
16.62	15
16.24	14
16.6	16
15.83	14
15.98	15
15.53	14
15.6	13
16.18	14
16.53	14
17.22	16
17.19	16
17.19	15
17.89	17
17.78	17
17.53	16
18.13	18
16.85	15
17.21	15
17.63	16
17.81	17
17.61	16
17.75	16
17.91	17
17.85	17
17.38	16
17.29	15
18.28	17
18.52	16
19.68	19
19.69	19
19.32	18
19.4	19
18.99	18
18.75	17
19.29	19
18.69	18
18.4	17
18.72	18
18.89	18
18.44	17
19.02	18
19.04	18
18.8	19
17.58	17
17.48	16
17.69	16
18.18	17
18.14	17
17.73	16
17.99	17
17.5	16
17.52	16
17.66	17
17.68	16
18.1	16
18.7	18
18.35	17
18.63	18
18.78	17
19.41	19
19.11	18
18.8	18
18.9	18
19.01	19
18.36	17
18.61	17
19.15	19
18.63	18
16.92	15
17.22	15
17.38	17
15.78	13
16.23	15
15.47	13
15.57	14
15.22	12
15.6	14
14.99	12
15.14	12
15.55	13
15.7	14
15.51	13
15.79	14
15.8	14
14.52	12
14.53	13
13.85	11
14.34	12
14.18	11
14.55	12
14.41	12
14.61	12
14.46	12
14.18	11
14.77	12
15.04	13
14.9	12
15.1	12
15.36	13
15.16	13
15.39	14
14.14	11
14.3	12
13.68	11
14.02	10
15.02	12
15.28	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	13
15.06	12
15.22	13
14.51	12
14.65	12
14.3	11
14.67	12
14.83	13
14.74	13
14.43	12
14.41	12
13.88	11
13.93	11
14.01	11
14.16	12
14.21	12
14.05	12
14.07	11
14.23	11
14.61	12
14.48	12
14.59	13
13.96	12
13.58	11
13.65	11
13.62	11
13.71	11
13.59	11
13.63	11
13.5	11
13.36	11
13.23	10
13.27	11
13.34	11
13.18	10
13.29	11
13.28	11
13.29	11
13.29	10
13.78	11
13.72	11
13.78	11
13.95	11
13.98	12
13.8	11
13.81	12
13.18	10
13.2	10
13.47	11
13.31	10
13.75	11
13.67	11
13.52	11
13.7	11
13.93	12
13.63	10
14.18	11
14.42	12
14.32	12
14.34	12
14.2	11
14.42	12
14.38	12
14.36	12
14.25	12
14.18	12
14.23	11
14.75	12
14.89	13
14.78	12
